Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.128348,0.128906,0.128348,0.128348,0.100453,469033600
12/15/1980,0.12221,0.12221,0.121652,0.121652,0.095213,175884800
12/16/1980,0.113281,0.113281,0.112723,0.112723,0.088224,105728000
12/17/1980,0.115513,0.116071,0.115513,0.115513,0.090408,86441600
12/18/1980,0.118862,0.11942,0.118862,0.118862,0.093029,73449600
12/19/1980,0.126116,0.126674,0.126116,0.126116,0.098707,48630400
12/22/1980,0.132254,0.132813,0.132254,0.132254,0.103511,37363200
12/23/1980,0.137835,0.138393,0.137835,0.137835,0.107879,46950400
12/24/1980,0.145089,0.145647,0.145089,0.145089,0.113556,48003200
12/26/1980,0.158482,0.15904,0.158482,0.158482,0.124038,55574400
12/29/1980,0.160714,0.161272,0.160714,0.160714,0.125785,93161600
12/30/1980,0.157366,0.157366,0.156808,0.156808,0.122728,68880000
12/31/1980,0.152902,0.152902,0.152344,0.152344,0.119234,35750400
1/2/1981,0.154018,0.155134,0.154018,0.154018,0.120544,21660800
1/5/1981,0.151228,0.151228,0.15067,0.15067,0.117924,35728000
1/6/1981,0.144531,0.144531,0.143973,0.143973,0.112683,45158400
1/7/1981,0.138393,0.138393,0.137835,0.137835,0.107879,55686400
1/8/1981,0.135603,0.135603,0.135045,0.135045,0.105695,39827200
1/9/1981,0.142299,0.142857,0.142299,0.142299,0.111372,21504000
1/12/1981,0.142299,0.142299,0.141183,0.141183,0.110499,23699200
1/13/1981,0.136719,0.136719,0.136161,0.136161,0.106568,23049600
1/14/1981,0.136719,0.137277,0.136719,0.136719,0.107005,14291200
1/15/1981,0.139509,0.140625,0.139509,0.139509,0.109189,14067200
1/16/1981,0.138951,0.138951,0.138393,0.138393,0.108315,13395200
1/19/1981,0.146763,0.147321,0.146763,0.146763,0.114866,41574400
1/20/1981,0.142857,0.142857,0.142299,0.142299,0.111372,30083200
1/21/1981,0.145089,0.146205,0.145089,0.145089,0.113556,15904000
1/22/1981,0.146763,0.147879,0.146763,0.146763,0.114866,35548800
1/23/1981,0.146763,0.147321,0.146205,0.146205,0.114429,11222400
1/26/1981,0.144531,0.144531,0.143973,0.143973,0.112683,24640000
1/27/1981,0.143973,0.143973,0.142857,0.142857,0.111809,23699200
1/28/1981,0.138951,0.138951,0.138393,0.138393,0.108315,28156800
1/29/1981,0.133929,0.133929,0.133371,0.133371,0.104385,43904000
1/30/1981,0.127232,0.127232,0.126116,0.126116,0.098707,46188800
2/2/1981,0.11942,0.11942,0.118862,0.118862,0.093029,23766400
2/3/1981,0.123326,0.123884,0.123326,0.123326,0.096523,19152000
2/4/1981,0.12779,0.128348,0.12779,0.12779,0.100017,27865600
2/5/1981,0.12779,0.128906,0.12779,0.12779,0.100017,7929600
2/6/1981,0.128348,0.128906,0.128348,0.128348,0.100453,13865600
2/9/1981,0.122768,0.122768,0.121652,0.121652,0.095213,16755200
2/10/1981,0.121652,0.12221,0.121652,0.121652,0.095213,18345600
2/11/1981,0.118304,0.118304,0.117746,0.117746,0.092156,13843200
2/12/1981,0.117188,0.117188,0.116629,0.116629,0.091281,14560000
2/13/1981,0.114955,0.114955,0.113839,0.113839,0.089098,11155200
2/17/1981,0.116629,0.117188,0.116629,0.116629,0.091281,12275200
2/18/1981,0.121652,0.122768,0.121652,0.121652,0.095213,19241600
2/19/1981,0.114955,0.114955,0.114397,0.114397,0.089535,22310400
2/20/1981,0.108817,0.108817,0.108259,0.108259,0.084731,24371200
2/23/1981,0.109933,0.110491,0.109933,0.109933,0.086041,14112000
2/24/1981,0.107143,0.107143,0.106027,0.106027,0.082984,16979200
2/25/1981,0.112723,0.113281,0.112723,0.112723,0.088224,19488000
2/26/1981,0.114397,0.114955,0.114397,0.114397,0.089535,10841600
2/27/1981,0.118304,0.11942,0.118304,0.118304,0.092592,14761600
3/2/1981,0.118862,0.11942,0.118862,0.118862,0.093029,11760000
3/3/1981,0.117746,0.117746,0.117188,0.117188,0.091719,16172800
3/4/1981,0.116629,0.116629,0.116071,0.116071,0.090845,13708800
3/5/1981,0.116071,0.116071,0.115513,0.115513,0.090408,5376000
3/6/1981,0.115513,0.115513,0.114397,0.114397,0.089535,11603200
3/9/1981,0.106027,0.106027,0.105469,0.105469,0.082547,15321600
3/10/1981,0.101004,0.101004,0.100446,0.100446,0.078616,28380800
3/11/1981,0.097656,0.097656,0.09654,0.09654,0.075558,29859200
3/12/1981,0.100446,0.101004,0.100446,0.100446,0.078616,59248000
3/13/1981,0.099888,0.099888,0.09933,0.09933,0.077742,231302400
3/16/1981,0.103237,0.104353,0.103237,0.103237,0.0808,37228800
3/17/1981,0.108259,0.109375,0.108259,0.108259,0.084731,43747200
3/18/1981,0.114955,0.116071,0.114955,0.114955,0.089971,36937600
3/19/1981,0.114397,0.114397,0.113839,0.113839,0.089098,37811200
3/20/1981,0.114955,0.116071,0.114955,0.114955,0.089971,14604800
3/23/1981,0.11942,0.120536,0.11942,0.11942,0.093466,22019200
3/24/1981,0.11942,0.11942,0.118862,0.118862,0.093029,28156800
3/25/1981,0.117746,0.117746,0.116629,0.116629,0.091281,7056000
3/26/1981,0.114955,0.114955,0.114397,0.114397,0.089535,12275200
3/27/1981,0.111049,0.111049,0.110491,0.110491,0.086477,12252800
3/30/1981,0.110491,0.111607,0.110491,0.110491,0.086477,9900800
3/31/1981,0.110491,0.110491,0.109375,0.109375,0.085604,15993600
4/1/1981,0.108817,0.108817,0.108259,0.108259,0.084731,34070400
4/2/1981,0.117746,0.118304,0.117746,0.117746,0.092156,31404800
4/3/1981,0.118304,0.118862,0.118304,0.118304,0.092592,16486400
4/6/1981,0.116629,0.116629,0.116071,0.116071,0.090845,22803200
4/7/1981,0.115513,0.115513,0.114955,0.114955,0.089971,10684800
4/8/1981,0.120536,0.121652,0.120536,0.120536,0.094339,21952000
4/9/1981,0.122768,0.123326,0.122768,0.122768,0.096086,12499200
